year,1,2,3,4,5,6,7,8,9,10,11,12,anual
1974,15.23483870967742,4.708214285714286,3.3758064516129034,4.519333333333333,5.168064516129032,59.54566666666666,114.59354838709677,22.545806451612904,224.899,56.40935483870968,20.101,12.80741935483871,45.325671082949306
1975,7.979032258064516,6.754642857142857,3.1599999999999997,1.661333333333333,3.175806451612903,7.933666666666666,41.83032258064516,99.89483870967743,296.86533333333335,57.627096774193554,15.587,8.771935483870967,45.93675070404506
1976,6.948709677419354,5.176206896551725,8.52032258064516,3.758666666666667,9.849354838709678,29.618,166.52612903225807,123.04064516129033,177.55666666666667,125.0383870967742,31.523333333333333,18.173870967741934,58.81085774317142
1977,10.996129032258064,9.753214285714284,5.139677419354839,3.0513333333333335,3.1287096774193546,13.541666666666666,15.15741935483871,14.15741935483871,29.370333333333335,53.41193548387097,29.721,10.548387096774194,16.49810208653354
1978,5.013870967741935,4.850714285714285,4.779354838709677,4.1160000000000005,1.401290322580645,50.096666666666664,29.227096774193548,80.27,187.78233333333336,135.12612903225806,20.478666666666665,10.860000000000001,44.50017690732207
1979,6.019032258064517,5.121785714285714,4.285806451612903,4.3966666666666665,4.02258064516129,21.88,17.160645161290322,73.99838709677418,130.125,13.489354838709678,19.927666666666667,15.531935483870969,26.329905081925244
1980,9.536774193548387,6.563103448275862,6.684838709677419,6.298666666666667,2.8712903225806454,5.462666666666666,5.857096774193548,41.777419354838706,128.13866666666667,31.288709677419355,14.014333333333333,9.16709677419355,22.305055215671732
1982,8.246774193548386,6.456785714285714,5.620322580645161,16.405333333333335,17.64032258064516,5.855,7.554516129032258,4.319354838709677,37.23766666666666,22.490967741935485,9.405,8.945806451612903,12.514820852534562
1983,14.491290322580646,6.311785714285714,3.4461290322580647,2.029,1.4670967741935483,2.1246666666666667,139.80354838709678,67.88580645161291,126.24233333333333,54.44161290322581,20.562666666666665,11.25258064516129,37.50487640809012
1984,10.781612903225808,11.989310344827587,4.784516129032258,2.0793333333333335,27.16774193548387,51.36833333333333,155.02774193548387,65.66032258064516,526.804,52.81612903225806,17.425666666666665,6.753225806451613,77.72149450006178
1985,5.188709677419355,4.168214285714286,5.857096774193548,14.707333333333333,7.16774193548387,59.31166666666666,246.24419354838707,80.97258064516129,39.049,43.76741935483871,11.084666666666667,5.974838709677419,43.624455133128514
1986,7.785483870967742,6.426071428571428,3.38,1.8486666666666667,4.501935483870968,64.44666666666667,46.67903225806452,14.601290322580645,62.291333333333334,79.93774193548387,32.55233333333333,14.241935483870968,28.224374231950843
1987,8.059354838709677,4.636071428571428,6.526451612903226,3.9690000000000003,6.349032258064516,27.836666666666666,217.31096774193546,84.63870967741936,120.18299999999999,36.87322580645161,12.151666666666667,6.873548387096775,44.61730792370711
1988,4.700645161290322,4.686206896551725,3.7161290322580647,18.583333333333332,3.4719354838709675,28.036999999999995,62.7358064516129,66.86322580645161,269.43566666666663,22.15290322580645,10.567,5.81741935483871,41.730605951056724
1989,3.8296774193548386,11.31142857142857,5.004516129032258,2.658666666666667,2.094193548387097,1.99,14.091935483870966,70.07322580645162,171.60166666666666,42.80903225806451,17.04,22.83451612903226,30.44490488991295
1990,12.461290322580645,6.997142857142857,5.750967741935484,8.765333333333333,4.582903225806452,5.650666666666666,102.99741935483871,96.70451612903226,105.83833333333334,61.20677419354839,22.950333333333333,22.87516129032258,38.065070148489504
