MWShapeID,D_R,CLAVE_WRB,N_G1,N_CP_G1,GH_SUELO,CVE_D,CVE_G,CLASS_CN,CVE_V,TIP_VEG,COND_HIDRO,VALOR_CN,ID_Calculo,areaPoligo,CalcArea,Porcentaje,ValorN,N_condN,N_CorrA,N_CorrB,N_corrS0,N_corrS
10,0.0,VRmshu+PHhuvr/3,VERTISOL,HÃºmico,D,IAPF,TAP,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.249566905700,0.016698421300,0.015195563300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
11,0.0,RGcalep/2,REGOSOL,EpilÃ©ptico,A,IAPF,TAP,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,71.0,1.0,1494.553893000000,0.595555026800,0.039848347300,0.028292326600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
12,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,QSCC,IEFF,BOSQUE Y SELVA,VSA/BQ,BOSQUE DE ENCINO,BUENA,70.0,1.0,1494.553893000000,0.076125207200,0.005093507000,0.003565454900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
13,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,QSCA,IEFF,BOSQUE Y SELVA,VSA/BQ,BOSQUE DE ENCINO,REGULAR,79.0,1.0,1494.553893000000,0.731185185700,0.048923306700,0.038649412300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
14,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,1.476940156000,0.098821471900,0.082021821700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
15,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,3.463229543200,0.231723296100,0.192330335700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
16,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,1.962011093700,0.131277373300,0.103709124900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
17,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,TAS,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.109837389400,0.007349175500,0.006687749700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
18,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,1.736973702300,0.116220211900,0.105760392800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
19,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,1.351424799300,0.090423289800,0.072338631900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
20,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.131413793400,0.008792844000,0.007034275200,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
21,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,AH,AH,ESTACIONAMIENTOS CALLES Y CARRETERAS,AH,NO APLICABLE,MALA,98.0,1.0,1494.553893000000,0.487124184500,0.032593283300,0.031941417600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
22,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,QSCC,IEFF,BOSQUE Y SELVA,VSA/BQ,BOSQUE DE ENCINO,BUENA,70.0,1.0,1494.553893000000,0.042574495100,0.002848642300,0.001994049600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
23,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.623591693300,0.041724269400,0.034631143600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
24,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.337939311200,0.022611383400,0.017862992900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
25,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,PPCA,IEFF,BOSQUE Y SELVA,SAP,SELVA ALTA PERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.000194064200,0.000012984700,0.000010257900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
26,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,1.170442954100,0.078313867400,0.062651093900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
27,0.0,LVdyhu+PHaplv/3,LUVISOL,HÃºmico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.095626605700,0.006398337700,0.005118670100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
28,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,2.137355382800,0.143009589100,0.118697959000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
29,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.470188868800,0.031460148100,0.026111922900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
30,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.119859810300,0.008019771700,0.006656410500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
31,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCC,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,BUENA,70.0,1.0,1494.553893000000,0.335889076400,0.022474203000,0.015731942100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
32,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.041904349300,0.002803803100,0.002215004500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
33,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,2.859005506100,0.191294908700,0.151122977900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
34,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.442950507300,0.029637640300,0.023413735800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
35,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TP,TIERRA CULTIVADA,IAPF,NO APLICABLE,BUENA,89.0,1.0,1494.553893000000,8.189169113700,0.547934012300,0.487661271000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
36,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TAP,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,2.865704429600,0.191743131000,0.174486249200,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
37,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,1.303948812500,0.087246690700,0.079394488500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
38,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,15.523821555000,1.038692657800,0.945210318600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
39,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,1.882746328800,0.125973799700,0.100779039800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
40,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,AH,AH,ESTACIONAMIENTOS CALLES Y CARRETERAS,AH,NO APLICABLE,MALA,98.0,1.0,1494.553893000000,0.025256408600,0.001689896100,0.001656098200,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
41,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.352345789700,0.023575315100,0.019567511500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
42,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.245885684300,0.016452112200,0.012997168600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
43,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.021589512200,0.001444545500,0.001141191000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
44,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TAS,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.430397028000,0.028797692000,0.026205899700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
45,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,1.438316312500,0.096237166000,0.087575821100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
46,0.0,VRpeca+PHca/3,VERTISOL,CalcÃ¡rico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.511245595400,0.034207237200,0.027365789700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
47,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.977400767000,0.065397492200,0.054279918600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
48,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,5.948834245600,0.398034107200,0.330368309000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
49,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,3.236585675500,0.216558646000,0.171081330300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
50,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.160625341000,0.010747376900,0.008490427800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
51,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,3.431375687000,0.229591967400,0.208928690300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
52,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.649003732600,0.043424578700,0.034739663000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
53,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,1.570410804600,0.105075555400,0.087212711000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
54,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.311354567300,0.020832608900,0.016457761000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
55,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,0.437372369800,0.029264409300,0.023118883400,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
56,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,PPCA,IEFF,BOSQUE Y SELVA,SAP,SELVA ALTA PERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,1.145315109800,0.076632573400,0.060539733000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
57,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,1.400065806300,0.093677840100,0.085246834500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
58,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.035682512200,0.002387502500,0.002172627300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
59,0.0,LVhust+RGsknhu+LPeuhu/3,LUVISOL,StÃ¡gnico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.114034285400,0.007629988100,0.006103990500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
60,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCC,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,BUENA,55.0,1.0,1494.553893000000,8.658595391800,0.579343135800,0.318638724700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
61,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,60.0,1.0,1494.553893000000,7.756812413500,0.519005199400,0.311403119600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
62,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TP,TIERRA CULTIVADA,IAPF,NO APLICABLE,BUENA,78.0,1.0,1494.553893000000,2.501662604700,0.167385238900,0.130560486300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
63,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,1.025557486500,0.068619639000,0.055581907600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
64,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,0.226097570800,0.015128097500,0.012253759000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
65,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,61.0,1.0,1494.553893000000,0.315758227200,0.021127256000,0.012887626100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
66,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,AH,AH,ESTACIONAMIENTOS CALLES Y CARRETERAS,AH,NO APLICABLE,MALA,98.0,1.0,1494.553893000000,0.094049786300,0.006292833300,0.006166976700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
67,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,AH,AH,ESTACIONAMIENTOS CALLES Y CARRETERAS,AH,NO APLICABLE,MALA,98.0,1.0,1494.553893000000,0.101508774600,0.006791911200,0.006656073000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
68,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,66.0,1.0,1494.553893000000,0.720016298000,0.048176000900,0.031796160600,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
69,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSSC,IEFF,BOSQUE Y SELVA,VSa/SAP,SELVA ALTA PERENNIFOLIA,MALA,66.0,1.0,1494.553893000000,1.975193634000,0.132159411700,0.087225211700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
70,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSSC,IEFF,BOSQUE Y SELVA,VSa/SAP,SELVA ALTA PERENNIFOLIA,MALA,66.0,1.0,1494.553893000000,0.939824922600,0.062883307600,0.041502983000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
71,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCC,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,BUENA,55.0,1.0,1494.553893000000,4.731878390800,0.316608080300,0.174134444100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
72,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCC,IEFF,BOSQUE Y SELVA,VSA/SAP,SELVA ALTA PERENNIFOLIA,BUENA,55.0,1.0,1494.553893000000,12.216905509000,0.817428235000,0.449585529200,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
73,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCC,IEFF,BOSQUE Y SELVA,VSA/SAP,SELVA ALTA PERENNIFOLIA,BUENA,55.0,1.0,1494.553893000000,4.149110471900,0.277615313200,0.152688422200,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
74,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,60.0,1.0,1494.553893000000,1.124266058100,0.075224189800,0.045134513900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
75,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TP,TIERRA CULTIVADA,IAPF,NO APLICABLE,BUENA,78.0,1.0,1494.553893000000,0.066539702100,0.004452144700,0.003472672800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
76,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TAS,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,25.616734727000,1.714005419600,1.388344389900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
77,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,1.154210674000,0.077227772000,0.062554495300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
78,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,0.947942662500,0.063426462300,0.051375434500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
79,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,0.026167611300,0.001750864300,0.001418200100,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
80,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,0.683673503400,0.045744319100,0.037052898500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
81,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,81.0,1.0,1494.553893000000,0.860693027100,0.057588624300,0.046646785700,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
82,0.0,PHca+RGcalep/2R,PHAEOZEM,CalcÃ¡rico,B,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,61.0,1.0,1494.553893000000,2.069332525100,0.138458207100,0.084459506300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
